Text ID	Text Paragraphs Count	Title
t000006	38	Effectiveness of topical treatment for pain control of malignant fungating wound in adults compared to systemic treatment: a systematic review protocol
t000007	28	Pre-emptive analgesia for primary tooth extractions in children: systematic review of literature
t000013	96	Brazilian’s Foreign Policy and Health (1995-2010): A policy analysis of the Brazilian Health Diplomacy – from Aids to ‘Zero Hunger’
t000020	34	Ethical Responsibility in Environmentally Sustainable Health Care
t000025	86	Topical therapy for pain management in malignant fungating wounds: a scoping review
t000029	58	Strategies for promoting mental health among residents: scoping review protocol.
t000030	69	Factors related to survival in Intensive Care Unit patients with Covid-19: a study from a single center in Brazil
t000034	41	Temporal inequality of RR intervals like a new psychophysiological indicator of mental stress
t000035	51	Quality of life among indigenous people using a simplified rehabilitation technique
t000037	38	EFFICACY OF METHOTREXATE MICROINFUSION IN SCALP LESIONS OF PATIENTS WITH FIBROSING FRONTAL ALOPECIA: A PROSPECTIVE CONTROLLED TRIAL
t000040	28	Visibility of the mandibular canal: from two-dimensional radiography to three-dimensional imaging
t000043	26	Proposal of a Quality Assessment tool for the Evaluation of the Methodological Quality of Self-Controlled Case Series and Self-Controlled Risk Interval Study Designs
t000063	38	IMPACT OF THE COVID-19 PANDEMIC ON ADOLESCENTS’ PERCEPTION OF SCIENCE, SCIENTISTS AND HEALTH CARE WORKERS, AND CHANGE OF CAREER CHOICES
t000068	43	Prevalence of parents' non-intention to vaccinate their children and adolescents against COVID-19: a comparative analysis in Colombia and Peru
t000069	24	COVID-19 incidence, severity, medication use, and vaccination among dentists: Staggering body of evidence obtained from a survey during the second wave in Brazil
t000076	32	Modified Salter Pelvic Osteotomy for DDH treatment which may improve both anterior and posterior femoral head coverage.
t000079	24	Can risk of sarcopenia predict poorer quality of life in hemodialysis patients?
t000080	42	Myocardial Insulin Resistance
t000081	40	Intensive Olfactory Training in Post-COVID Patients: A Randomized Multicenter Clinical Trial
t000083	46	The cultural adaptation and psychometric properties of the Selfitis Behavior Scale: cross-sectional study in Brazilian adolescentsBrazilian version of the Selfitis Behavior Scale
t000086	24	CAN NLR BE A BIOMARKER FOR MUCOSITIS AND GVHD IN PATIENTS UNDERGOING ALLOGENEIC HEMATOPOIETIC STEM CELL TRANSPLANTATION?
t000088	35	Clinical parameters of individuals with periodontitis and Diabetes Mellitus reveals signatures of the minority microbiota in saliva
t000091	48	PHYTOTHERAPEUTIC AGENTS ON ANXIETY CONTROL IN DENTISTRY: A LITERATURE REVIEW
t000092	27	SYMPATHOVAGAL EQUILIBRIUM ANALYSIS IN PATIENTS WITH COVID
t000093	28	Methodological Description of Mapping Brazilian Long-Term Care  Facilities for Older Adults
t000095	30	High discrepancies in the mortality of hospitalized patients with COVID-19 in the two most economically important states in Brazil
t000097	55	What is known on physical activity intervention protocols for breast cancer treatment? A scoping review
t000102	20	VALIDITY OF THE INSTRUMENT interRAI EMERGENCY SCREENER FOR PSYCHIATRY FOR THE BRAZILIAN CONTEXT
t000105	69	COVID-Inconfidentes - SARS-CoV-2 seroprevalence in two Brazilian urban areas during the pandemic first wave: study protocol and initial results
t000106	36	The effect of social distancing due to the COVID-19 on adult and elderly exercises. Exercise and social distancing
t000109	72	City-scale model for COVID-19 epidemiology with mobility and social activities represented by a set of Hidden Markov Models
t000112	24	Low anti-COVID-19 vaccination coverage and high COVID-19 mortality rates in Brazilian elderly
t000115	34	Mass treatment as a strategy to control intestinal parasites does not reduce the prevalency of infections in Guarani indigenous schoolchildren in Brazil
t000116	31	THE EFFECT OF PRIMARY CARE POLICY CHANGES ON HOSPITALIZATION FOR AMBULATORY CARE SENSITIVE CONDITIONS: NOTES FROM BRAZIL
t000121	29	Meta-worry, anxiety and depression in the COVID-19 pandemic
t000123	31	Trend in the prevalence of depression and correlates in Brazil: results from the National Health Surveys 2013 and 2019
t000126	27	Early cardiovascular sympathetic reflex activation is independent of occlusion time during reactive hyperemia
t000127	19	Influence of the emotional alterations in the arterial stiffness index and cardiovascular risk of pre-hypertensive patients
t000129	34	Validity of a 2-item screen to identify families at risk for food insecurity in Brazil
t000130	35	Subjective knowledge of school adolescents about the health effects of smoking and association with smoking status
t000132	60	From modern Planetary Health to decolonial promotion of One Health of Peripheries
t000133	80	One Health of Peripheries: biopolitics, social determination and field of praxis
t000135	23	Impact of the COVID-19 pandemic on Prenatal, Diabetes and medical appointments in the Brazilian National Health System
t000137	29	ASSOCIATION BETWEEN LEISURE TIME PHYSICAL ACTIVITY AND MORTALITY BY COVID-19 IN THE BRAZILIAN CAPITALS: AN ECOLOGICAL ANALYSIS
t000138	30	Cut down on the prevalence of cesarean sections in Brazil: a time-series from 2000 to 2017
t000139	44	“Incidentalormones” - Macro-hormones
t000141	37	The COVID-19 pandemic and plans for economic reopening in Brazil: a documental analysis
t000144	43	Spatial and temporal distribution of cancer mortality in a Brazilian Legal Amazon State between 2000 and 2015
